rank,film_title,film_year,overall_rating,language,genre,mpaa_rating,director,actors,plot_summary
91,Coco,2017,3.5,English,Animation/Family,PG,Lee Unkrich,"Anthony Gonzalez, Gael García Bernal, Benjamin Bratt, Renee Victor, Edward James Olmos, Alanna Ubach","Budding musician Miguel wants nothing more than to be like his idol, Ernesto de la Cruz, despite the fact is family has forbidden music. But when he finds himself in the Land of the Dead, he sets off on an adventure that will solve a centuries old mystery, and his families' true origins."
92,Rocky,1976,3.2,English,Sport/Drama,PG,John G. Avildsen,"Sylvester Stallone, Carl Weathers, Burt Young, Talia Shire, Burgess Meredith, Joe Spinell",A undersized and underfunded heavyweight challenges the long time heavyweight to a fight after being the underdog in many of his fights.  He struggles to balance his training with his personal life and confidence.
93,Whiplash,2014,3.4,English,Drama,R,Damien Chazelle,"Miles Teller, J.K. Simmons, Melissa Benoist, Paul Reiser, Austin Stowell, Jayson Blair",A stern teacher helps mold a struggling young drummer who is working to become a top jazz drummer.
94,Gran Torino,2008,3.2,English,Drama/Action,R,Clint Eastwood,"Clint Eastwood, Christopher Carley, Bee Vang, Ahney Her, John Carroll Lynch, Brian Haley","When a teenager tries to steal his prized 1972 Gran Torino, a Korean war veteran decides to take matters into his own hands and reform the boy."
95,Kill Bill: Volume 1,2003,3.0,English,Action/Crime,R,Quentin Tarantino,"Uma Thurman, Lucy Liu, Vivica A. Fox, David Carradine, Daryl Hannah, Michael Madsen","A woman, who her assasins believe to be dead find that she is alive and try to kill her, while at the same time, she goes after revenge against them."
96,Django Unchained,2012,3.3,English,Drama/Western,R,Quentin Tarantino,"Jaime Foxx, Christoph Waltz, Leonardo DiCaprio, Samuel L. Jackson, Kerry Washington, Don Johnson","Once a slave, Django is now a free man working as a bounty hunter. After assisting a German bounty hunter, the two join forces to take down the wicked Plantation owner Calvin Candie - who has Django's wife and wants him back as a slave."
97,The Pianist,2002,3.2,English,Drama/War,R,Roman Polanski,"Adrien Brody, Thomas Kretschmann, Frank Finlay, Maureen Lipman, Emilia Fox, Ed Stoppard",A Jewish pianist must flee is home country as Germany invades.  He is reluctant to flee and struggles to survive because of it.
98,Shaun of the Dead,2004,3.1,English,Horror/Comedy,R,Edgar Wright,"Simon Pegg, Kate Ashfield, Nick Frost, Lucy Davis, Dylan Moran, Nicola Cunningham","A man needs to sort out his life: with his girlfriend, his mother and step-father, his job and his best friend.  Oh, and the recently deceased are now rising from the dead and trying to eat everyone."
99,Donnie Darko,2001,3.0,English,Drama/Comedy,R,Richard Kelly,"Jake Gyllenhaal, Jena Malone, Patrick Swayze, Mary McDonnell, Maggie Gyllenhaal, Drew Barrymore",A movie of a teenage boy who sees an imaginary six foot tall bunny rabbit who tells him when the world is going to end.
100,Ferris Bueller's Day Off,1986,3.1,English,Comedy/Adventure,PG-13,John Hughes,"Matthew Broderick, Alan Ruck, Jeffrey Jones, Mia Sara, Jennifer Grey, Cindy Pickett","This teenager has it all.  He owns the school, he is funny, witty and charming. Now all he needs is to not get caught skipping school. The principal is on to his plan and is determined to catch him in the act."
101,Good Will Hunting,1997,3.2,English,Drama,R,Gus Van Sant,"Matt Damon, Ben Affleck, Minnie Driver, Casey Affleck, Stellan Skarsgard, Robin Williams",A young custodian at MIT is blessed with a gift for mathematics when his therapist tries to harness his gift to help his career for the rest of his life.
102,Killers of the Flower Moon,2023,3.6,English,Crime/Drama,R,Martin Scorsese,"Leonardo DiCaprio, Robert De Niro, Lily Gladstone, Jesse Plemons, Tantoo Cardinal, John Lithgow","In the 1920s, the Osage Nation in Oklahoma are among the richest in the US, sitting atop a goldmine of oil fields. But then they begin to die one after another, murdered under mysterious circumstances. The young bureau of the FBI, led by J. Edgar Hoover, enlists the help of a former Texas Ranger to investigate, uncovering a chilling conspiracy."
103,The Terminator,1984,3.1,English,Sci-Fi/Action,R,James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Michael Biehn, Lance Henriksen, Paul Winfield","A human and a cyborg are sent from the future, one to protect the mother of a boy who will someday be needed to save the world, and one to kill her."
104,Edward Scissorhands,1990,3.1,English,Drama/Comedy,PG-13,Tim Burton,"Johnny Depp, Winona Ryder, Kathy Baker, Anthony Michael Hall, Dianne Wiest, Vincent Price",A man that has scissors for hands tries to fit into a rich suburban neighborhood.
105,"Amélie ( Fabuleux destin d'Amélie Poulain, Le )",2001,3.1,French,Comedy/Romance,R,Jean-Pierre Jeunet,"Audrey Tautou, Mathieu Kassovitz, Rufus, Lorella Cravotta, Serge Merlin, Jamel Debbouze","A Paris woman, in search of helping others finds love in mysterious ways."
106,Platoon,1986,3.2,English,War/Drama,R,Oliver Stone,"Charlie Sheen, Willem Dafoe, Tom Berenger, Forest Whitaker, ohn C. McGinley, Johnny Depp","A young man is sent to the Vietnam War where he explores the reality of moral dilemmas, friends dying, and searching for a reason for it all."
107,Lawrence of Arabia,1962,3.2,English,Drama/Historical,PG,David Lean,"Peter O'Toole, Omar Sharif, Alec Guinness, Anthony Quinn, Jack Hawkins, Claude Rains","A British officer leads a charge in Africa to discuss politics.  While he was once British, is he now part of the African culture he tried to create?"
108,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,3.2,English,Comedy,PG,Stanley Kubrick,"Peter Sellers, George C. Scott, Sterling Hayden, Slim Pickens, Keenan Wynn, Glenn Beck","A cold war spoof, based off a mad general who wants to destroy the U.S.S.R.  The President and his advisors meet in hopes of averting a nuclear war."
109,Harry Potter and the Deathly Hallows: Part 2,2011,3.2,English,Adventure/Fantasy,PG-13,David Yates,"Daniel Radcliffe, Emma Watson, Rupert Grint, Ralph Fiennes, Bonnie Wright, Helena Bonham Carter","As the confrontations between good and evil mount, not everyone will survive. Harry Potter faces Voldemort in a final battle to determine who will live and who will die, along with the ultimate fate of the magical world."
110,Beauty and the Beast,1991,3.2,English,Animation/Family,G,"Gary Trousdale, Kirk Wise","Paige O'Hara, Robby Benson, Richard White, Angela Lansbury, Jerry Orback, David Ogden Stiers","When her father is imprisoned by ""The Beast"" in his castle, Belle, his outspoken daughter, takes his place only to find that there's more to the Beast than meets the eye."
111,"Monsters, Inc.",2001,3.2,English,Animation/Family,PG,Pete Docter,"John Goodman, Billy Crystal, Steve Buscemi, Jennifer Tilly, John Ratzenberger, Frank Oz","The lives of monsters are maintained by scaring children, but they are afraid of children entering their lives; not for fear of ruining a secret but for fear of disease - when one monster accidentally lets a child into the monster world, his life and many others are turned upside down."
112,Oppenheimer,2023,3.5,English,Biography/Drama,R,Christopher Nolan,"Cillian Murphy, Emily Blunt, Robert Downey Jr., Matt Damon, Florence Pugh, Jason Clarke",Follows the story of American scientist J. Robert Oppenheimer and his contribution in developing the atomic bomb and the mark it left on his life both professional and personal.
113,How to Train Your Dragon,2010,3.2,English,Animation/Fantasy,PG,"Dean DeBlois, Chris Sanders","Gerard Butler, Jonah Hill, Christopher Mintz-Plasse, Jay Baruchel, America Ferrera, Kristen Wiig","Based on the book by Cressida Cowell. Hiccup Horrendous Haddock III is the son of a powerful Viking chief, but is no hero. To prove his courage he seeks out the biggest, meanest dragon... only to end up with an surly, toothless runt of a dragon."
114,Amadeus,1984,3.2,English,Drama/Biography,R,Milos Forman,"Tom Hulce, F. Murray Abraham	 ., Elizabeth Berridge, Jeffrey Jones, Simon Callow, Christine Ebersole","Amadeus is an up and coming composer, but the powers that be never allow him to receive recognition, as told by Antonio Salieri, the man who claims he murdered Amadeus."
115,Rashômon,1950,3.3,Japanese,Drama/Crime,PG-13,Akira Kurosawa,"Toshirô Mifune, Machiko Kyô, Masayuki Mori, Takashi Shimura, Minoru Chiaki, Kichijiro Ueda","A crime  is told from four different points of view, through different people - but which version is the truth?"
116,Scarface,1983,3.1,English,Crime/Thriller,R,Brian De Palma,"Al Pacino, Michelle Pfeiffer, Steven Bauer, Mary Elizabeth Mastrantonio, Robert Loggia, F. Murray Abraham","An illegal Cuban immigrant greedily takes control of the drug land in Florida, where he faces crime corruption, and police infiltration."
117,The Great Escape,1963,3.3,English,Adventure/War,NR,John Sturges,"Steve McQueen, James Garner, Richard Attenborough, Donald Pleasence, James Donald, Charles Bronson","Set in a POW camp in Germany during WWII, many American's plan a massive escape plan trying to reach England or a neutral country."
118,2001: A Space Odyssey,1968,3.1,English,Sci-Fi/Adventure,PG,Stanley Kubrick,"Gary Lockwood, Douglas Rain","Set in the future, mankind discovers a mysterious buried object on the moon.  A set of astronauts and a super intelligent computer are sent off on a quest to discover its origin."
119,Star Trek,2009,3.1,English,Sci-Fi/Adventure,PG-13,J.J. Abrams,"Chris Pine, Zachary Quinto, Eric Bana, Leonard Nimoy, Karl Urban, Zoe Saldana","Chronicles the origins of the Enterprise, including a headstrong Iowa farm boy, James T. Kirk and a half-Vulcan coming to terms with his heritage, Spock. When a threat appears that has plans to destroy the future, the young crew must come together to avert disaster."
120,Beasts of No Nation,2015,3.5,English,Drama/War,,Cary Fukunaga,"Idris Elba, Ama Abebrese, Abraham Attah, Richard Pepple, Opeyemi Fagbohungbe","Follows the life of Agu, a child soldier forced into fighting a civil war in an African nation."
121,There Will Be Blood,2007,3.1,English,Drama,R,Paul Thomas Anderson,"Daniel Day-Lewis, Ciarán Hinds, Paul Dano, Kevin J. O'Connor, Russell Harvard, Mary Elizabeth Barrett","During the early oil discovery days, a Texas farmer discovers oil only to be swallowed by its greed."
122,12 Years a Slave,2013,3.3,English,Drama/Historical,R,Steve McQueen,"Chiwetel Ejiofor, Michael Fassbender, Lupita Nyong'o, Benedict Cumberbatch, Paul Dano, Paul Giamatti","Follows the true story of Solomon Northup, an upstate free black man who, years before the civil war broke out, was abducted and sold into slavery. Facing both extreme cruelty and incredible kind deeds, he struggles to maintain his dignity while fighting to survive. In the twelfth year of his ordeal a chance meeting with a Canadian abolitionist will change his life forever."
123,The Prestige,2006,3.1,English,Mystery/Thriller,PG-13,Christopher Nolan,"Christian Bale, Hugh Jackman, Michael Caine, Scarlett Johansson, Rebecca Hall, David Bowie",Two rival magicians try to decode each others magic tricks when one of them develops the ultimate trick and the other tries endlessly to discover the secret.
124,Requiem for a Dream,2000,3.1,English,Drama,R,Darren Aronofsky,"Jared Leto, Ellen Burstyn, Jennifer Connelly, Marlon Wayans, Christopher McDonald, Louise Lasser","Four normal people are addicted to drugs in different ways.  When it comes down to it, they struggle to survive after their once great high."
125,Chinatown,1974,3.2,English,Mystery/Crime,R,Roman Polanski,"Jack Nicholson, Faye Dunaway, John Huston, Diane Ladd, Perry Lopez, James Hong","A private detective, who is investigating an affair, finds himself in the middle of a water problem."
126,Once Upon a Time in the West,1968,3.2,English,Western,PG-13,Sergio Leone,"Charles Bronson, Henry Fonda, Claudia Cardinale, Jason Robards, Gabriele Ferzetti, Paolo Stoppa","A man who plays the harmonica travels across the west to find his killer, while he falls for a victim's wife.  He joins up with a notorious gun man to battle what's really bad."
127,Sunset Boulevard,1950,3.3,English,Mystery/Drama,NR,Billy Wilder,"William Holden, Gloria Swanson, Nancy Olson, Erich von Stroheim, Jack Webb, Fred Clark","A screenwriter is desperate for a job, when he finds himself in front of a legendary silent film era movie star.  He writes script for her, but will it be good enough to make him famous?  Or does he even want to be famous?"
128,The Exorcist,1973,3.1,English,Horror/Drama,R,William Friedkin,"Ellen Burtyn, Linda Blair, Max von Sydow, Jason Miller, Lee J. Cobb, Kitty Winn",A little girl is possessed by a demon. Can the Catholic church save her?
129,Young Frankenstein,1974,3.2,English,Comedy,PG,Mel Brooks,"Gene Wilder, Teri Garr, Peter Boyle, Marty Feldman, Madeline Kahn, Cloris Leachman","Young Dr. Frankenstein inherits his grandfather's (the famous Dr. Victor Von Frankenstein) castle - along with a few employees.  Always trying to live down the family name, he changes his mind when he discovers his seemingly mad grandfather's notes on reanimation."
130,V for Vendetta,2006,3.1,English,Action/Sci-Fi,R,James McTeigue,"Natalie Portman, Hugo Weaving, John Hurt, Stephen Rea, Stephen Fry, Tim Pigott-Smith","A terrorist freedom fighter, who fights against conformity, finds an unsuspecting ally in his fight to free his country. Takes place in the near future."
